iter	Passed	Remaining
471	689	771
472	690	769
473	691	767
474	692	765
475	693	763
476	695	762
477	696	760
478	697	758
479	698	756
480	699	755
481	700	753
482	702	751
483	703	749
484	704	747
485	705	746
486	706	744
487	707	742
488	709	740
489	710	739
490	711	737
491	712	735
492	713	733
493	714	732
494	716	730
495	717	729
496	718	727
497	719	725
498	720	723
499	722	722
500	723	720
501	724	718
502	725	716
503	726	715
504	727	713
505	728	711
506	730	709
507	731	708
508	733	707
509	734	705
510	735	703
511	736	701
512	737	700
513	738	698
514	739	696
515	740	694
516	741	692
517	742	691
518	743	689
519	744	687
520	746	686
521	747	684
522	749	683
523	750	681
524	751	680
525	752	678
526	753	676
527	754	674
528	756	673
529	758	672
530	759	670
531	760	668
532	761	667
533	762	665
534	763	663
535	764	661
536	765	660
537	766	658
538	767	656
539	769	655
540	770	653
541	771	652
542	772	650
543	773	648
544	774	646
545	775	645
546	776	643
547	778	641
548	779	640
549	780	638
550	781	636
551	782	634
552	783	633
553	784	631
554	786	630
555	787	628
556	788	626
557	789	625
558	790	623
559	791	622
560	793	620
561	794	618
562	795	617
563	796	615
564	797	613
565	798	612
566	799	610
567	800	608
568	801	607
569	802	605
570	803	603
571	805	602
572	806	600
573	807	599
574	808	597
575	809	595
576	810	594
577	811	592
578	812	590
579	813	589
580	815	587
581	816	586
582	817	584
583	818	583
584	819	581
585	820	579
586	821	577
587	822	576
588	823	574
589	824	573
590	825	571
591	826	569
592	827	568
593	829	566
594	830	565
595	832	564
596	833	562
597	834	560
598	835	559
599	836	557
600	837	556
601	839	554
602	840	553
603	841	551
604	842	549
605	843	548
606	844	547
607	846	545
608	847	543
609	848	542
610	849	540
611	850	539
612	852	537
613	853	536
614	854	534
615	855	533
616	856	531
617	857	530
618	858	528
619	860	527
620	861	525
621	862	524
622	863	522
623	865	521
624	866	519
625	867	518
626	868	516
627	869	515
628	870	513
629	871	511
630	872	510
631	874	509
632	875	507
633	876	506
634	877	504
635	879	503
636	880	501
637	881	500
638	883	498
639	884	497
640	885	495
641	886	494
642	887	492
643	888	491
644	889	489
645	890	488
646	891	486
647	892	484
648	893	483
649	895	482
650	896	480
651	897	478
652	898	477
653	899	476
654	901	474
655	902	473
656	903	471
657	905	470
658	906	468
659	907	467
660	908	465
661	909	464
662	911	463
663	912	461
664	914	460
665	915	459
666	917	457
667	918	456
668	920	455
669	921	454
670	923	452
671	924	451
672	925	449
673	926	448
674	928	446
675	929	445
676	931	444
677	932	442
678	933	441
679	934	439
680	936	438
681	937	437
682	938	435
683	940	434
684	941	432
685	942	431
686	943	429
687	944	428
688	945	426
689	947	425
690	948	424
691	949	422
692	950	421
693	951	419
694	952	418
695	954	416
696	954	415
697	956	413
698	957	412
699	958	410
700	959	409
701	960	407
702	961	406
703	962	404
704	963	403
705	965	401
706	966	400
707	967	399
708	968	397
709	969	396
710	970	394
711	972	393
712	973	391
713	974	390
714	975	388
715	976	387
716	977	385
717	978	384
718	979	382
719	981	381
720	982	380
721	983	378
722	984	377
723	985	375
724	986	374
725	987	372
726	988	371
727	989	369
728	990	368
729	991	366
730	992	365
731	994	363
732	995	362
733	996	361
734	997	359
735	998	358
736	999	356
737	1001	355
738	1002	354
739	1003	352
740	1004	351
741	1005	349
742	1006	348
743	1008	346
744	1009	345
745	1010	344
746	1011	342
747	1012	341
748	1013	339
749	1014	338
750	1015	336
751	1016	335
752	1017	333
753	1018	332
754	1020	331
755	1021	329
756	1022	328
757	1023	326
758	1024	325
759	1026	324
760	1027	322
761	1028	321
762	1029	319
763	1031	318
764	1032	317
765	1033	315
766	1034	314
767	1035	312
768	1036	311
769	1037	309
770	1038	308
771	1039	307
772	1040	305
773	1041	304
774	1042	302
775	1043	301
776	1044	299
777	1045	298
778	1046	296
779	1047	295
780	1048	294
781	1049	292
782	1051	291
783	1052	289
784	1053	288
785	1054	287
786	1055	285
787	1056	284
788	1057	282
789	1058	281
790	1059	279
791	1060	278
792	1061	277
793	1062	275
794	1063	274
795	1064	272
796	1065	271
797	1066	270
798	1067	268
799	1068	267
800	1070	265
801	1071	264
802	1072	263
803	1073	261
804	1074	260
805	1075	258
806	1077	257
807	1078	256
808	1079	254
809	1081	253
810	1082	252
811	1083	250
812	1085	249
813	1086	248
814	1087	246
815	1089	245
816	1090	244
817	1091	242
818	1092	241
819	1094	240
820	1095	238
821	1096	237
822	1097	236
823	1098	234
824	1099	233
825	1100	231
826	1102	230
827	1103	229
828	1104	227
829	1105	226
830	1106	225
831	1107	223
832	1109	222
833	1110	220
834	1111	219
835	1112	218
836	1113	216
837	1115	215
838	1116	214
839	1117	212
840	1118	211
841	1119	210
842	1120	208
843	1121	207
844	1122	205
845	1123	204
846	1124	203
847	1125	201
848	1126	200
849	1127	199
850	1128	197
851	1130	196
852	1131	194
853	1132	193
854	1133	192
855	1134	190
856	1135	189
857	1136	188
858	1137	186
859	1138	185
860	1139	183
861	1140	182
862	1141	181
863	1142	179
864	1143	178
865	1144	177
866	1145	175
867	1146	174
868	1147	173
869	1148	171
870	1149	170
871	1150	168
872	1152	167
873	1153	166
874	1154	164
875	1155	163
876	1156	162
877	1156	160
878	1157	159
879	1158	158
880	1160	156
881	1161	155
882	1162	154
883	1163	152
884	1164	151
885	1165	149
886	1166	148
887	1167	147
888	1168	145
889	1170	144
890	1171	143
891	1172	141
892	1173	140
893	1174	139
894	1175	137
895	1176	136
896	1178	135
897	1179	133
898	1180	132
899	1181	131
900	1182	129
901	1183	128
902	1184	127
903	1185	125
904	1186	124
905	1187	123
906	1189	121
907	1190	120
908	1191	119
909	1192	117
910	1193	116
911	1194	115
912	1195	113
913	1196	112
914	1197	111
915	1198	109
916	1199	108
917	1200	107
918	1202	105
919	1202	104
920	1204	103
921	1206	102
922	1207	100
923	1208	99
924	1209	98
925	1211	96
926	1212	95
927	1213	94
928	1214	92
929	1215	91
930	1217	90
931	1218	88
932	1219	87
933	1221	86
934	1223	85
935	1224	83
936	1225	82
937	1226	81
938	1227	79
939	1228	78
940	1229	77
941	1231	75
942	1232	74
943	1233	73
944	1234	71
945	1235	70
946	1237	69
947	1238	67
948	1239	66
949	1240	65
950	1241	63
951	1242	62
952	1243	61
953	1244	60
954	1245	58
955	1246	57
956	1247	56
957	1248	54
958	1249	53
959	1250	52
960	1251	50
961	1252	49
962	1253	48
963	1254	46
964	1255	45
965	1256	44
966	1257	42
967	1258	41
968	1259	40
969	1260	38
970	1261	37
971	1262	36
972	1263	35
973	1264	33
974	1266	32
975	1267	31
976	1268	29
977	1269	28
978	1270	27
979	1271	25
980	1272	24
981	1273	23
982	1274	22
983	1275	20
984	1276	19
985	1277	18
986	1278	16
987	1280	15
988	1281	14
989	1282	12
990	1283	11
991	1284	10
992	1284	9
993	1286	7
994	1287	6
995	1288	5
996	1289	3
997	1290	2
998	1291	1
999	1292	0
